                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3198,                  2.172,                 1.5446,                0.38061,                0.50984,                0.44908,                0.25042,                  1.489,                 2.1242,                 1.8814,               0.067113,              0.0003322,              0.0003322
                      2,                 1.3614,                 1.8512,                 1.5755,                 0.5477,                0.48127,                0.51074,                0.29732,                 1.3932,                 1.8188,                 1.7872,                0.03411,             0.00066333,             0.00066333
                      3,                 1.3543,                  1.803,                 1.5648,                0.50212,                0.55181,                0.54581,                0.30594,                 1.4327,                 1.8334,                 1.7703,               0.001106,             0.00099227,             0.00099227
                      4,                 1.3226,                 1.7179,                 1.5553,                0.58279,                0.55786,                0.56386,                0.34398,                 1.3927,                 1.6893,                 1.7874,              0.0009901,              0.0009901,              0.0009901
                      5,                 1.3234,                 1.6827,                 1.5567,                0.63575,                 0.5035,                 0.5749,                0.35173,                 1.3213,                 1.6943,                 1.7406,              0.0009868,              0.0009868,              0.0009868
                      6,                 1.2876,                 1.6006,                 1.5284,                0.65333,                0.60032,                 0.6505,                0.38666,                 1.3978,                 1.3898,                 1.7612,              0.0009835,              0.0009835,              0.0009835
                      7,                 1.2692,                  1.514,                 1.5026,                0.61605,                 0.6157,                0.66798,                0.40689,                  1.321,                   1.36,                 1.7139,              0.0009802,              0.0009802,              0.0009802
                      8,                 1.2622,                 1.4971,                 1.5038,                0.67739,                0.63425,                0.69083,                0.43915,                 1.3293,                 1.3248,                 1.6839,              0.0009769,              0.0009769,              0.0009769
                      9,                 1.2414,                 1.4405,                 1.4952,                0.67519,                0.68401,                0.71787,                0.44947,                 1.2683,                  1.224,                 1.6193,              0.0009736,              0.0009736,              0.0009736
                     10,                 1.2417,                 1.4498,                 1.4892,                0.75588,                0.57964,                0.70145,                0.43597,                 1.2949,                 1.3222,                  1.689,              0.0009703,              0.0009703,              0.0009703
                     11,                 1.2172,                 1.3951,                 1.4744,                0.71563,                0.63127,                0.74283,                0.47871,                 1.2253,                 1.1881,                 1.5997,               0.000967,               0.000967,               0.000967
                     12,                  1.219,                 1.3754,                 1.4774,                0.79218,                0.59228,                0.75332,                0.48301,                 1.2312,                 1.1622,                 1.5831,              0.0009637,              0.0009637,              0.0009637
                     13,                 1.2076,                 1.3506,                 1.4569,                0.75844,                0.61877,                0.74589,                0.47869,                 1.2152,                 1.1487,                 1.5793,              0.0009604,              0.0009604,              0.0009604
                     14,                 1.1967,                 1.3214,                 1.4372,                0.77901,                 0.6075,                0.73771,                0.48089,                 1.1921,                  1.142,                  1.547,              0.0009571,              0.0009571,              0.0009571
                     15,                 1.1836,                 1.2715,                  1.431,                0.72215,                0.69852,                0.78115,                0.50583,                 1.2304,                 1.0939,                 1.5662,              0.0009538,              0.0009538,              0.0009538
                     16,                 1.1757,                 1.2953,                 1.4369,                0.78399,                0.73119,                0.82506,                0.53149,                 1.1848,                  1.025,                 1.5257,              0.0009505,              0.0009505,              0.0009505
                     17,                 1.1715,                 1.2597,                 1.4283,                0.71436,                0.70299,                0.78837,                 0.5177,                 1.1582,                 1.0742,                 1.5192,              0.0009472,              0.0009472,              0.0009472
                     18,                 1.1654,                 1.2237,                 1.4273,                0.79952,                0.68964,                0.78965,                0.50419,                 1.2108,                 1.0531,                 1.5458,              0.0009439,              0.0009439,              0.0009439
                     19,                 1.1784,                 1.2221,                 1.4321,                0.78846,                0.68144,                0.77883,                0.49705,                 1.2455,                 1.0502,                  1.594,              0.0009406,              0.0009406,              0.0009406
                     20,                 1.1471,                 1.1865,                 1.4067,                 0.7485,                0.73694,                0.82345,                0.54578,                 1.1723,                 1.0014,                 1.5147,              0.0009373,              0.0009373,              0.0009373
                     21,                 1.1216,                 1.1717,                  1.392,                0.76178,                0.72344,                0.81034,                0.53738,                 1.1529,                0.98991,                 1.5068,               0.000934,               0.000934,               0.000934
                     22,                 1.1461,                 1.1891,                 1.4129,                0.79685,                0.69409,                0.81462,                0.53864,                 1.1572,                 1.0045,                 1.5045,              0.0009307,              0.0009307,              0.0009307
                     23,                 1.1302,                 1.1452,                 1.3845,                0.75558,                0.73627,                0.82944,                0.54451,                  1.172,                0.97617,                 1.5132,              0.0009274,              0.0009274,              0.0009274
                     24,                 1.1086,                 1.1142,                 1.3762,                0.80848,                0.68323,                0.80606,                0.53131,                 1.1758,                0.97739,                 1.5266,              0.0009241,              0.0009241,              0.0009241
                     25,                 1.1319,                  1.119,                  1.395,                0.75377,                0.74655,                0.81597,                0.52592,                  1.198,                0.99069,                  1.562,              0.0009208,              0.0009208,              0.0009208
                     26,                 1.1395,                 1.1421,                 1.4072,                0.76335,                0.71336,                0.80932,                0.54098,                 1.1714,                0.96636,                 1.5214,              0.0009175,              0.0009175,              0.0009175
                     27,                 1.1099,                   1.07,                 1.3793,                 0.8183,                0.71926,                0.82022,                0.53812,                 1.1725,                0.94394,                 1.5146,              0.0009142,              0.0009142,              0.0009142
                     28,                 1.1182,                 1.0948,                 1.3854,                0.79899,                0.68904,                0.81292,                0.52384,                 1.1764,                0.96448,                 1.5403,              0.0009109,              0.0009109,              0.0009109
                     29,                 1.1032,                  1.096,                 1.3747,                 0.7549,                0.73828,                0.81793,                0.54226,                 1.1722,                0.94254,                 1.5228,              0.0009076,              0.0009076,              0.0009076
                     30,                 1.1004,                 1.0727,                   1.38,                0.81707,                 0.7206,                 0.8262,                0.55165,                  1.151,                0.96479,                  1.514,              0.0009043,              0.0009043,              0.0009043
                     31,                  1.113,                 1.0793,                 1.3793,                0.80433,                0.74991,                0.83249,                0.56944,                 1.1197,                 0.9505,                 1.4725,               0.000901,               0.000901,               0.000901
                     32,                 1.0898,                 1.0626,                 1.3627,                0.81076,                0.75679,                0.84815,                0.55945,                 1.1681,                0.89226,                 1.5331,              0.0008977,              0.0008977,              0.0008977
                     33,                 1.1096,                 1.0662,                 1.3799,                0.80081,                0.72935,                0.82793,                0.55386,                 1.1478,                0.93052,                 1.5157,              0.0008944,              0.0008944,              0.0008944
                     34,                 1.0954,                 1.0419,                   1.36,                  0.767,                0.74788,                0.83028,                0.55235,                  1.143,                0.92434,                 1.4869,              0.0008911,              0.0008911,              0.0008911
                     35,                 1.0782,                0.99852,                 1.3483,                0.80865,                0.75767,                 0.8519,                0.57918,                 1.1465,                0.87175,                 1.4787,              0.0008878,              0.0008878,              0.0008878
                     36,                 1.0881,                 1.0101,                 1.3619,                0.83932,                0.75925,                0.85824,                0.57993,                 1.1201,                0.87501,                 1.4725,              0.0008845,              0.0008845,              0.0008845
